key	location	sub_location	category	description	en_string	fr_string
hp217	Lexicon	Muscle and joint pain	phrases	null	It (does not) feels numb 	Je (ne) le sens (pas) engourdi
hp218	Lexicon	Muscle and joint pain	phrases	null	I have lost sensation in this area 	J’ai une perte de sensation dans cette région
hp219	Lexicon	Muscle and joint pain	phrases	null	I still have sensation but my strenght is decreased in this area 	J’ai encore de la sensation mais mes forces ont diminué dans cette région
hp220	Lexicon	Muscle and joint pain	phrases	null	It hurts more when I walk up (down) the stairs 	C’est plus douloureux quand je monte (descends) les escaliers
hp221	Lexicon	Muscle and joint pain	phrases	null	It feels like my knee will give out 	J’ai l’impression que mon genou va lâcher
hp222	Lexicon	Muscle and joint pain	phrases	null	The swelling doesn’t decrease 	L’enflure ne diminue pas
hp223	Lexicon	Muscle and joint pain	phrases	null	The stiffness dissapears as the day progresses 	La raideur diminue comme la journée progresse
hp224	Lexicon	Muscle and joint pain	phrases	null	Its not as swollen as it was 	Ce n’est pas aussi enflé que c’était
hp225	Lexicon	Muscle and joint pain	phrases	null	I have heart burn and I can’t take anti inflammatory 	J’ai des brûlement d’estomac et je ne peux pas prendre des anti inflammatoires
hp226	Lexicon	Muscle and joint pain	phrases	null	I have unexplained shakes 	J’ai des tremblements inexpliqués
hp227	Lexicon	Other symptoms – Neurologic	phrases	null	Ringing in the ears 	Bourdonnement dans les oreilles
hp228	Lexicon	Other symptoms – Neurologic	phrases	null	Dizziness 	Étourdissement
hp229	Lexicon	Other symptoms – Neurologic	phrases	null	Difficulty walking or moving 	Difficulté à marcher ou à bouger
hp230	Lexicon	Other symptoms – Neurologic	phrases	null	Strange movements in part of the body 	Mouvement bizarre dans certains endroits du corps
hp231	Lexicon	Other symptoms – Neurologic	phrases	null	Double vision 	Vision double
hp232	Lexicon	Other symptoms – Neurologic	phrases	null	Drooping eyelid 	Paupière tombante
hp233	Lexicon	Other symptoms – Neurologic	phrases	null	Confusion 	Confusion
hp234	Lexicon	Other symptoms – Neurologic	phrases	null	Memory loss 	Perte de mémoire
hp235	Lexicon	Other symptoms – Neurologic	phrases	null	Difficulty speaking or understanding 	Difficultés à parler ou à comprendre
hp236	Lexicon	Other symptoms – Neurologic	phrases	null	Episode of bizarre behavior 	Épisode de comportement bizarre
hp237	Lexicon	Other symptoms – Neurologic	phrases	null	Change in personnality 	Changement de personnalité. 
hp238	Lexicon	Other symptoms- Circulatory	phrases	null	Anormal pulse 	Pouls anormal
hp239	Lexicon	Other symptoms- Circulatory	phrases	null	Bruises 	Ecchymose (bleu)
hp240	Lexicon	Other symptoms- Circulatory	phrases	null	Chest pain 	Douleur thoracique
hp241	Lexicon	Other symptoms- Circulatory	phrases	null	Claudication (limping) 	Claudication (boîter)
hp242	Lexicon	Other symptoms- Circulatory	phrases	null	Cold extremities 	extrémités froides
hp243	Lexicon	Other symptoms- Circulatory	phrases	null	Cyanosis (blue color usually on extremities) 	Cyanose (extrémités teintées de bleu)
hp244	Lexicon	Other symptoms- Circulatory	phrases	null	Fainting 	Évanouissements
hp245	Lexicon	Other symptoms- Circulatory	phrases	null	Fatigue 	Fatigue
hp246	Lexicon	Other symptoms- Circulatory	phrases	null	Poor wound healing 	Plaies longues à guérir
hp247	Blood Pressure record	null	measure	null	Measurement	null
hp248	Blood Pressure record	null	date	null	Date	null
hp249	Glycemia	null	measure	null	Reading	null
hp250	Glycemia	null	date	null	Date	null
hp251	Personal notes	null	help	null	I am in need of medical assistance and I don’t speak French, could you please get someone who speaks English for me?	J’ai besoin de soins médicaux et je ne parle pas français. Pourriez-vous S.V.P. aller chercher quelqu’un qui parle anglais?
hp252	Personal notes	null	help	null	For interpreter services in cases of emergency, please contact MCDC during normal working hours at 418-332-3851 or 1-877-332-3851	null
hp253	Personal notes	null	organization	null	Megantic English-speaking Community Development Corporation	null
